Cuisines Combinations,Count,Avg_Rating
North Indian,936,1.6723290598290599
" Chinese,North Indian",511,2.4217221135029354
Fast Food,354,2.118361581920904
Chinese,354,2.042090395480226
" Mughlai,North Indian",334,2.888622754491018
Cafe,299,2.890969899665552
" Chinese, Mughlai,North Indian",267,2.6134831460674155
Bakery,218,1.9243119266055047
" Desserts,Bakery",170,2.3176470588235296
Street Food,149,2.1617449664429533
" Fast Food,Pizza",131,2.629007633587786
" Fast Food,Chinese",118,2.055084745762712
" Street Food,Mithai",116,1.893103448275862
South Indian,112,2.3705357142857144
" Fast Food,Bakery",108,2.399074074074074
" North Indian,Chinese",105,1.9038095238095238
Mughlai,103,1.5640776699029126
" Chinese, Continental,North Indian",83,2.968674698795181
" Desserts,Ice Cream",83,2.774698795180723
" Chinese, South Indian,North Indian",80,1.9412500000000001
" Chinese, Fast Food,North Indian",77,2.727272727272727
" Fast Food,North Indian",74,2.4216216216216213
Ice Cream,74,2.09054054054054
Mithai,71,1.6267605633802817
" Desserts, Fast Food,Bakery",66,3.321212121212121
" Fast Food, Healthy Food, Salad,American",62,2.9000000000000004
" North Indian,Mughlai",60,2.091666666666667
" Fast Food, North Indian,Raw Meats",57,2.6210526315789475
" Burger,Fast Food",56,3.4035714285714285
Italian,54,3.6574074074074074
Beverages,54,2.4833333333333334
Biryani,54,1.3981481481481481
Desserts,53,2.7150943396226417
Pizza,53,2.207547169811321
" Thai,Chinese",51,3.3098039215686277
Finger Food,49,2.8755102040816327
" North Indian,Fast Food",46,2.373913043478261
" Chinese, North Indian,South Indian",46,2.8260869565217392
" Beverages,Fast Food",44,2.3272727272727276
" Fast Food,Raw Meats",44,1.8340909090909092
" Fast Food,Burger",43,3.1697674418604653
" Chinese,Fast Food",41,2.112195121951219
Mexican,36,3.636111111111111
" Fast Food, Pizza,Italian",36,2.875
" South Indian,North Indian",35,1.5542857142857143
" Chinese,South Indian",34,2.426470588235294
American,31,3.667741935483871
" Continental,North Indian",28,3.2642857142857147
" Chinese, Continental, Italian,North Indian",26,3.623076923076923
" Ice Cream,Desserts",26,3.2961538461538464
" Chinese, Fast Food, South Indian,North Indian",25,2.64
" Pizza,Italian",24,3.6374999999999997
" Street Food,North Indian",22,2.6954545454545453
" Chinese, Italian,North Indian",22,3.0545454545454547
" Desserts, Fast Food,Burger",22,3.1363636363636362
Continental,21,3.566666666666667
" Tea,Cafe",20,3.375
" Chinese, North Indian,Mughlai",20,3.02
" Fast Food,American",20,3.35
" Italian,Pizza",19,3.668421052631579
" Mughlai, North Indian,Chinese",19,2.289473684210526
" North Indian,South Indian",19,2.9894736842105263
" Fast Food,Cafe",18,3.461111111111111
Indian,18,4.25
Asian,18,3.2555555555555555
" Sushi,Japanese",18,4.044444444444444
" Street Food,Fast Food",18,2.2666666666666666
" North Indian,Biryani",18,2.5388888888888888
" Mithai,Street Food",18,1.9666666666666666
Japanese,17,3.5352941176470587
" Mughlai,Biryani",17,2.011764705882353
" Chinese, North Indian,Continental",17,3.335294117647059
" Continental, Italian,Cafe",16,4.10625
" Continental, Italian,North Indian",16,3.05625
" Bakery,Cafe",16,3.00625
Thai,16,4.1
" Chinese, Desserts, Fast Food, Mithai, South Indian, Street Food,North Indian",15,3.48
" Biryani,North Indian",15,2.253333333333333
" Fast Food,Beverages",15,2.4
Healthy Food,15,2.7133333333333334
Seafood,14,4.114285714285715
" Beverages,Desserts",14,2.8642857142857143
" Burger,American",13,4.076923076923077
" Fast Food, South Indian,North Indian",13,2.6384615384615384
" Asian, Thai,Chinese",13,3.630769230769231
" Chinese,Tibetan",13,2.161538461538462
" North Indian,Continental",13,3.423076923076923
" Chinese, North Indian,Fast Food",13,2.853846153846154
" Italian,Continental",13,3.5384615384615383
" Italian,Cafe",12,3.5833333333333335
" Italian, North Indian,Continental",12,3.641666666666667
" Asian, Continental,North Indian",12,3.65
" Continental,Cafe",12,3.5583333333333336
" North Indian,Street Food",12,2.7083333333333335
" Fast Food, North Indian,Chinese",12,1.8499999999999999
